topic,rank,word,weight
0,1,AI,0.010510011878983589
0,2,自己,0.00989606141914103
0,3,人类,0.008782391660171907
0,4,ai,0.00824720088944552
0,5,孩子,0.00599404361811948
0,6,真的,0.005137463769199933
0,7,机器人,0.004389795559320866
0,8,问题,0.004172321429742942
0,9,世界,0.004116351908412507
0,10,知道,0.003926535554799898
0,11,未来,0.0037557606660982403
0,12,觉得,0.0036368341781470937
0,13,需要,0.0036218268303287128
0,14,时候,0.003591702303522279
0,15,很多,0.003501034522867484
1,1,创新,0.01074936801141494
1,2,发展,0.009263338026093635
1,3,数字,0.009061229933028644
1,4,科技,0.008825447396793681
1,5,智能,0.008761939228107099
1,6,技术,0.00867861390511609
1,7,产业,0.008318600685673678
1,8,数据,0.007845623670396972
1,9,应用,0.007787234429308043
1,10,专业,0.007353764005480147
1,11,服务,0.0060012192255575365
1,12,企业,0.005672564948966064
1,13,中心,0.0056477659776972226
1,14,领域,0.005193560387655077
1,15,机器人,0.005060406337447613
2,1,AI,0.030936905424081944
2,2,技术,0.008295049470967314
2,3,模型,0.006998073583679132
2,4,内容,0.006046021990875039
2,5,生成,0.005958286579083398
2,6,使用,0.005808489653322023
2,7,进行,0.005524912649494311
2,8,通过,0.005404495184954876
2,9,问题,0.0052904659904894355
2,10,用户,0.005127930477724505
2,11,数据,0.004994040427193107
2,12,人类,0.004508450121662729
2,13,研究,0.004473988247509158
2,14,可能,0.004365991970051894
2,15,能够,0.003970647099870642
3,1,发展,0.020349390005027067
3,2,中国,0.017067558839356668
3,3,经济,0.008884322552798585
3,4,合作,0.006757591613939594
3,5,国家,0.005902332720477922
3,6,社会,0.005399307426787045
3,7,领域,0.005337827325865602
3,8,技术,0.005257891053312134
3,9,推动,0.005100505877756438
3,10,美国,0.0049398092082373075
3,11,科技,0.004804010813734971
3,12,全球,0.00477521153456153
3,13,世界,0.004093625593683314
3,14,创新,0.003970494020776066
3,15,安全,0.0036942721495366875
4,1,板块,0.0114297476056024
4,2,市场,0.011418242890270503
4,3,科技,0.00957699819725374
4,4,指数,0.007377336754190001
4,5,股份,0.00596895792613295
4,6,A股,0.0057714295871131955
4,7,上涨,0.005654605623579425
4,8,资金,0.005382901483045946
4,9,概念,0.004832019751087239
4,10,继续,0.004722868489890086
4,11,行情,0.004683427238327414
4,12,方向,0.004468619980522379
4,13,个股,0.0036356834032798446
4,14,预期,0.00362587286440395
4,15,下跌,0.0036014375527362802
5,1,公司,0.019348409477041417
5,2,AI,0.011716162814397496
5,3,芯片,0.008372173706325425
5,4,技术,0.008037883308458404
5,5,产品,0.006885400685434993
5,6,中国,0.006646502145695039
5,7,美国,0.006369911757311837
5,8,伟达,0.005666920114781247
5,9,领域,0.005543750988705605
5,10,科技,0.0054004638313821934
5,11,企业,0.005177201407304906
5,12,机器人,0.0050805867178301545
5,13,全球,0.00498095671417591
5,14,市场,0.004955797897294203
5,15,表示,0.004926931463211385
