topic,rank,word,weight
0,1,自己,0.00918155552771074
0,2,AI,0.008019664801936574
0,3,人类,0.007691119161505473
0,4,可能,0.005176808014435176
0,5,机器人,0.004752855445777094
0,6,时候,0.004575870595939121
0,7,未来,0.003957315123635926
0,8,世界,0.00392197707656127
0,9,很多,0.0038127953980231443
0,10,需要,0.003741258318943783
0,11,真的,0.00371933100032541
0,12,时代,0.0036169466934543202
0,13,问题,0.00319036822477921
0,14,生活,0.0029933493698513967
0,15,知道,0.0029874857746382886
1,1,创新,0.010398968273345273
1,2,AI,0.01020848285702185
1,3,发展,0.009453034415584845
1,4,产业,0.00920073826184147
1,5,科技,0.008921077120521662
1,6,技术,0.007905551602282141
1,7,应用,0.007570386222935693
1,8,智能,0.007185210930805946
1,9,企业,0.0067317041883861745
1,10,领域,0.006332495369400795
1,11,机器人,0.005811254643567506
1,12,联通,0.005673265660290415
1,13,教育,0.004945162797728108
1,14,数据,0.0046973862719432765
1,15,项目,0.004654125308909232
2,1,AI,0.025423575137553275
2,2,数据,0.012063738892939175
2,3,通过,0.010519236706479123
2,4,技术,0.010241756910077868
2,5,内容,0.009994868083524372
2,6,分析,0.008054153643797059
2,7,用户,0.007849610954509046
2,8,生成,0.00739788940078991
2,9,声明,0.007361503268390628
2,10,平台,0.007090708232075909
2,11,本人,0.006661142505748744
2,12,使用,0.005875215197519271
2,13,产品,0.005711444169592008
2,14,模型,0.005576413022411964
2,15,网络,0.00554778720339109
3,1,中国,0.01679005499519757
3,2,发展,0.013884169120710756
3,3,经济,0.008815640186435726
3,4,全球,0.006871748551090781
3,5,国家,0.006357291586372327
3,6,技术,0.00590415778168377
3,7,安全,0.005705259152465035
3,8,领域,0.0050652367559736984
3,9,社会,0.004904800113058208
3,10,信息,0.004660143888119766
3,11,合作,0.0045902707027356705
3,12,创新,0.00457125303866806
3,13,推动,0.004384944918332978
3,14,国际,0.0038593118093898935
3,15,科技,0.003811534832828147
4,1,科技,0.014510365489298556
4,2,市场,0.013918376653105656
4,3,板块,0.012188830888943828
4,4,股份,0.008063056462940388
4,5,机器人,0.007169939460696882
4,6,资金,0.006871845322782573
4,7,指数,0.006445347870116144
4,8,A股,0.006340355165785029
4,9,上涨,0.005093085344987089
4,10,概念,0.0044960714975330945
4,11,行情,0.0040889966706088845
4,12,AI,0.0038621489004969016
4,13,个股,0.003819826322454808
4,14,算力,0.0038197955266980528
4,15,投资,0.003774284241734198
5,1,公司,0.01567259178734582
5,2,AI,0.015418605639736769
5,3,芯片,0.009998880057729417
5,4,技术,0.008087154157677115
5,5,美国,0.007388719212989918
5,6,企业,0.007158174368459044
5,7,领域,0.006486405944375807
5,8,科技,0.00641359809732299
5,9,中国,0.006091122770246322
5,10,产品,0.006046740639889708
5,11,全球,0.005966489721681617
5,12,伟达,0.005762040447579519
5,13,机器人,0.005502598276836968
5,14,市场,0.004902796879384127
5,15,增长,0.004896048768033222
